Tuolumne  - by Zip Code 2015,,,,
Opioid Prescriptions by Patient Location : Age-Adjusted Rate per 1k Residents,,,,Opioid Prescriptions by Patient Location : Age-Adjusted Rate per 1k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
95310,1949.132,1826.768,2080.766,Rate is stable
95311,2479.771,2323.368,2648.177,Rate is stable
95321,1000.201,957.759,1044.906,Rate is stable
95327,1052.724,1029.826,1076.302,Rate is stable
95329,828.264,793.274,864.819,Rate is stable
95335,761.719,673.31,863.927,Rate is stable
95346,721.744,669.905,777.649,Rate is stable
95370,1182.994,1169.978,1196.152,Rate is stable
95372,1409.195,1352.156,1468.504,Rate is stable
95379,1436.844,1395.724,1479.439,Rate is stable
95383,1592.229,1516.116,1672.973,Rate is stable
California,587.05,586.812,587.288,Rate is stable
Tuolumne,1109.523,1100.702,1118.405,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Justice - Controlled Substance Utilization Review and Evaluation System (CURES) Data,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.02.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/02/26., https://skylab.cdph.ca.gov/ODdash/,,
