Tuolumne  - by Zip Code 2023,,,,
Opioid Prescriptions by Patient Location : Age-Adjusted Rate per 1k Residents,,,,Opioid Prescriptions by Patient Location : Age-Adjusted Rate per 1k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
95310,952.496,898.488,1012.922,Rate is stable
95311,669.537,621.781,732.109,Rate is stable
95321,419.727,394.221,447.054,Rate is stable
95327,677.277,655.333,699.981,Rate is stable
95329,827.742,781.491,876.711,Rate is stable
95335,108.45,82.484,140.353,Rate is stable
95346,257.182,228.734,290.871,Rate is stable
95364,0,,,Not applicable
95370,515.698,507.509,524.024,Rate is stable
95372,1221.074,1136.166,1313.118,Rate is stable
95379,681.964,654.328,710.836,Rate is stable
95383,561.692,534.689,590.747,Rate is stable
California,295.981,295.818,296.145,Rate is stable
Tuolumne,523.21,517.406,529.077,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Justice - Controlled Substance Utilization Review and Evaluation System (CURES) Data,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.02.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/02/26., https://skylab.cdph.ca.gov/ODdash/,,
