Ventura  - by Zip Code 2019,,,,
Opioid Prescriptions by Patient Location : Age-Adjusted Rate per 1k Residents,,,,Opioid Prescriptions by Patient Location : Age-Adjusted Rate per 1k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
90265,323.627,315.684,331.772,Rate is stable
91301,381.72,374.281,389.296,Rate is stable
91307,380.49,373.711,387.391,Rate is stable
91320,368.277,362.974,373.653,Rate is stable
91360,429.39,423.615,435.24,Rate is stable
91361,371.294,363.466,379.298,Rate is stable
91362,374.859,368.667,381.151,Rate is stable
91377,333.117,322.352,344.267,Rate is stable
93001,465.746,458.369,473.237,Rate is stable
93003,536.716,530.784,542.711,Rate is stable
93004,509.074,501.463,516.789,Rate is stable
93010,524.558,518.17,531.019,Rate is stable
93012,395.129,388.917,401.44,Rate is stable
93015,545.238,534.216,556.454,Rate is stable
93021,392.49,386.278,398.793,Rate is stable
93022,446.514,430.881,462.756,Rate is stable
93023,460.66,451.717,469.782,Rate is stable
93030,460.673,454.915,466.498,Rate is stable
93033,363.54,359.017,368.11,Rate is stable
93035,385.689,378.941,392.546,Rate is stable
93036,409.416,403.382,415.53,Rate is stable
93041,496.142,486.461,506.001,Rate is stable
93042,86.127,46.6,166.39,Rate is stable
93043,21.135,11.825,39.204,Rate is stable
93060,487.874,480.267,495.582,Rate is stable
93063,490.595,485.14,496.106,Rate is stable
93065,475.389,470.657,480.163,Rate is stable
93066,453.75,429.41,480.232,Rate is stable
93225,738.722,713.333,765.072,Rate is stable
93243,1069.15,951.497,1199.149,Rate is stable
93252,405.36,365.026,450.89,Rate is stable
California,400.571,400.379,400.762,Rate is stable
Ventura,447.509,446.138,448.884,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Justice - Controlled Substance Utilization Review and Evaluation System (CURES) Data,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.02.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/02/26., https://skylab.cdph.ca.gov/ODdash/,,
