Ventura  - by Zip Code 2023,,,,
Opioid Prescriptions by Patient Location : Age-Adjusted Rate per 1k Residents,,,,Opioid Prescriptions by Patient Location : Age-Adjusted Rate per 1k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
90265,221.196,214.272,228.405,Rate is stable
91301,290.407,284.046,296.919,Rate is stable
91307,304.312,297.993,310.783,Rate is stable
91320,304.352,299.491,309.29,Rate is stable
91360,349.354,344.063,354.721,Rate is stable
91361,284.635,277.541,291.922,Rate is stable
91362,287.498,282.246,292.842,Rate is stable
91377,263.533,254.495,272.904,Rate is stable
93001,352.993,346.574,359.525,Rate is stable
93003,404.716,399.54,409.957,Rate is stable
93004,366.896,360.521,373.383,Rate is stable
93010,375.835,370.427,381.316,Rate is stable
93012,347.798,341.688,354.015,Rate is stable
93015,403.816,394.49,413.387,Rate is stable
93021,302.853,297.087,308.72,Rate is stable
93022,386.854,371.851,402.581,Rate is stable
93023,344.719,337.218,352.419,Rate is stable
93030,314.646,310.065,319.284,Rate is stable
93033,263.951,260.13,267.819,Rate is stable
93035,324.77,318.531,331.134,Rate is stable
93036,326.425,321.064,331.857,Rate is stable
93041,373.721,365.209,382.416,Rate is stable
93042,32.189,12.914,67.672,Rate may be unstable
93043,151.007,84.82,264.569,Rate is stable
93060,355.338,348.801,361.983,Rate is stable
93063,370.028,365.325,374.787,Rate is stable
93065,375.849,371.596,380.146,Rate is stable
93066,355.025,330.628,381.21,Rate is stable
93225,656.739,625.123,690.408,Rate is stable
93243,538.355,482.407,601.009,Rate is stable
93252,321.793,302.176,342.58,Rate is stable
California,295.981,295.818,296.145,Rate is stable
Ventura,345.11,343.895,346.328,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Justice - Controlled Substance Utilization Review and Evaluation System (CURES) Data,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.02.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/02/26., https://skylab.cdph.ca.gov/ODdash/,,
