Yolo  - by Zip Code 2016,,,,
Opioid Prescriptions by Patient Location : Age-Adjusted Rate per 1k Residents,,,,Opioid Prescriptions by Patient Location : Age-Adjusted Rate per 1k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
95605,820.062,804.531,835.878,Rate is stable
95606,266.131,216.501,324.971,Rate is stable
95607,249.313,201.977,309.7,Rate is stable
95612,899.106,836.224,966.276,Rate is stable
95615,622.098,537.219,719.455,Rate is stable
95616,456.016,448.559,463.584,Rate is stable
95618,280.38,273.643,287.262,Rate is stable
95627,876.844,843.352,911.581,Rate is stable
95637,536.32,454.519,633.097,Rate is stable
95645,780.958,721.615,845.409,Rate is stable
95653,520.467,444.455,610.935,Rate is stable
95679,84.57,53.181,127.823,Rate is stable
95691,811.419,802.034,820.897,Rate is stable
95694,620.237,603.711,637.216,Rate is stable
95695,769.7,761.23,778.249,Rate is stable
95698,478.581,381.98,593.756,Rate is stable
95776,710.122,697.483,722.991,Rate is stable
95937,866.141,818.223,916.925,Rate is stable
California,562.338,562.108,562.57,Rate is stable
Yolo,620.895,617.408,624.392,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Justice - Controlled Substance Utilization Review and Evaluation System (CURES) Data,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.02.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/02/26., https://skylab.cdph.ca.gov/ODdash/,,
