Yuba  - by Zip Code 2010,,,,
Opioid Prescriptions by Patient Location : Age-Adjusted Rate per 1k Residents,,,,Opioid Prescriptions by Patient Location : Age-Adjusted Rate per 1k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
95692,1084.303,1054.619,1114.668,Rate is stable
95901,1470.162,1456.29,1484.146,Rate is stable
95903,1343.642,1027.809,1742.314,Rate is stable
95914,1921.724,1798.806,2053.447,Rate is stable
95918,926.688,886.203,968.991,Rate is stable
95919,1653.548,1580.932,1729.276,Rate is stable
95922,1398.891,1306.285,1497.681,Rate is stable
95925,1927.89,1772.216,2099.186,Rate is stable
95935,1943.213,1828.38,2064.898,Rate is stable
95941,2056.801,1912.071,2212.151,Rate is stable
95960,1932.35,1839.052,2030.416,Rate is stable
95961,1143.886,1129.556,1158.407,Rate is stable
95962,1174.007,1113.603,1237.774,Rate is stable
95966,1899.75,1883.917,1915.704,Rate is stable
95977,936.628,889.997,985.592,Rate is stable
95981,1403.577,1031.406,1945.594,Rate is stable
California,606.775,606.522,607.028,Rate is stable
Yuba,1259,1250.495,1267.557,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Justice - Controlled Substance Utilization Review and Evaluation System (CURES) Data,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.02.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/02/26., https://skylab.cdph.ca.gov/ODdash/,,
