Yuba  - by Zip Code 2023,,,,
Opioid Prescriptions by Patient Location : Age-Adjusted Rate per 1k Residents,,,,Opioid Prescriptions by Patient Location : Age-Adjusted Rate per 1k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
95692,538.667,516.665,561.645,Rate is stable
95901,605.994,597.506,614.587,Rate is stable
95903,131.026,93.553,182.903,Rate is stable
95914,399.886,357.295,451.914,Rate is stable
95918,537.747,494.636,588.588,Rate is stable
95919,803.993,760.568,850.397,Rate is stable
95922,700.254,625.973,785.225,Rate is stable
95925,326.769,266.059,400.334,Rate is stable
95935,1635.411,1470.541,1817.575,Rate is stable
95941,509.233,445.784,580.9,Rate is stable
95960,2027.329,1833.523,2238.792,Rate is stable
95961,630.952,620.687,641.368,Rate is stable
95962,452.951,413.084,497.108,Rate is stable
95966,663.564,654.532,672.718,Rate is stable
95977,906.211,804.531,1020.162,Rate is stable
95981,144.455,93.093,221.958,Rate is stable
California,295.981,295.818,296.145,Rate is stable
Yuba,564.904,559.748,570.1,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Justice - Controlled Substance Utilization Review and Evaluation System (CURES) Data,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.02.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/02/26., https://skylab.cdph.ca.gov/ODdash/,,
