Zip Code,Year,zhvi_mid_tier,zhvi_bottom_tier,zhvi_top_tier,zori_rent_index,zhvi_sfr_only,zhvi_condo_only,zhvi_1_bed,zhvi_3_bed,zhvi_5plus_bed,perc_listings_price_cut,med_listings_price_cut_perc,med_doz_pending,market_temp_index,pct_sold_above_list,pct_sold_below_list,median_sale_to_list,for_sale_inventory,new_listings
90001,2010,165913.33,100232.32,265368.37,,166327.76,,110373.05,171609.57,256598.66,,,,,,,,,
90001,2011,165779.01,101138.38,258649.96,,166254.28,,102567.34,171572.4,239934.73,,,,,,,,,
90001,2012,164173.04,104542.84,252821.97,,164611.45,,111583.91,168734.39,238161.13,,,,,,,,,
90001,2013,191745.6,127335.4,285732.76,,192150.93,,133892.02,195302.1,271352.89,,,,,,,,,
90001,2014,234233.2,161297.54,336344.43,,234664.18,,165928.48,237673.39,324476.86,,,,,,,,,
90001,2015,262544.62,184262.27,371197.47,,263027.08,,189409.7,266140.03,367654.91,,,,,,,,,
90001,2016,283988.64,203114.28,394222.21,,284545.16,,209461.4,288505.8,404757.5,,,,,,,,,
90001,2017,327176.52,243180.84,436815.51,,327812.12,,251175.81,333705.86,456932.03,,,,,,,,,
90001,2018,387388.31,299896.42,495463.62,,387990.22,,308678.46,395922.17,520611.31,,,,76.75,,,,26.6,
90001,2019,421867.76,331279.28,533648.0,,422349.72,,333782.08,432422.6,575482.04,,,,74.9,,,,23.25,
90001,2020,453959.72,359015.31,572770.78,,454292.52,,352619.24,466777.18,626951.44,,,,118.5,,,,19.58,
90001,2021,509997.23,404699.6,643539.12,,509950.93,,390064.89,528679.44,716730.15,,,,89.83,,,,27.58,
90001,2022,566058.43,461533.93,693596.15,,566056.74,,428124.76,587649.23,810110.56,,,,75.42,,,,31.67,
90001,2023,578290.33,483018.09,690113.1,,578643.84,,446095.78,599654.75,814280.73,,,,90.36,,,,24.42,
90001,2024,601960.77,508331.78,712247.26,,602048.55,,456044.24,627334.24,826478.07,,,,72.73,,,,23.33,
90002,2010,155947.12,97611.69,246314.84,,155676.52,,121049.19,163179.76,238301.52,,,,,,,,,
90002,2011,154709.55,98015.57,239021.65,,154453.76,,113593.25,161342.33,222726.37,,,,,,,,,
90002,2012,155384.81,101142.78,234362.84,,155152.84,,120864.7,160980.94,225033.45,,,,,,,,,
90002,2013,182942.97,123916.09,265326.25,,182686.99,,146069.97,187850.56,253621.37,,,,,,,,,
90002,2014,225084.11,158043.11,313111.91,,224756.13,,182318.94,229124.73,304002.11,,,,,,,,,
90002,2015,255656.11,183457.19,348631.37,,255320.86,,202075.91,259818.04,345350.48,,,,,,,,,
90002,2016,280649.08,204945.48,374519.73,,280384.63,,216795.96,285202.77,374247.57,,,,,,,,,
90002,2017,318711.99,241772.62,407273.91,,318547.23,,252751.44,324701.6,410072.33,,,,,,,,,
90002,2018,376036.98,297217.77,458394.59,,376020.7,,307466.85,383530.4,474677.72,0.11,,,66.58,,,,60.3,22.1
90002,2019,413385.22,332060.3,495758.43,,413404.59,,333604.98,422387.22,522066.93,0.09,,,87.17,,,,44.0,15.5
90002,2020,446460.88,362699.23,531332.02,,446501.33,,353498.1,456580.94,567390.65,0.1,,,88.75,,,,39.25,14.33
90002,2021,509740.27,415418.75,603839.93,,509697.27,,393431.45,523078.6,648297.0,0.06,,,95.08,,,,38.67,17.5
90002,2022,564458.27,472538.08,654445.47,,564371.0,,426342.01,577710.44,708991.19,0.12,,,80.75,,,,50.33,16.83
90002,2023,577295.39,496428.26,655882.8,,577381.48,,436238.37,588785.55,705155.85,0.14,,,65.58,,,,49.92,14.83
90002,2024,608170.97,529880.06,685514.35,,608298.47,,457978.99,622152.38,736437.12,0.13,,,77.75,,,,31.83,11.25
90003,2010,167107.11,96658.89,296272.95,,166441.17,,125046.12,176481.63,313557.4,,,,,,,,,
90003,2011,166174.99,98638.72,289875.44,,165598.32,,121774.16,176737.73,294778.47,,,,,,,,,
90003,2012,163920.75,102289.92,283698.04,,163336.21,,115593.49,173746.83,294265.74,,,,,,,,,
90003,2013,193880.51,126711.49,324131.9,,193235.86,,140019.76,204607.7,337182.49,,,,,,,,,
90003,2014,241766.97,164057.12,384438.73,,240871.9,,178542.8,252250.05,402856.15,,,,,,,,,
90003,2015,268184.26,185304.98,417803.05,,267205.79,,196650.59,279531.58,443284.13,,,,,,,,,
90003,2016,292377.74,205423.76,445625.61,,291446.19,,215421.73,304270.56,474059.33,,,,,,,,,
90003,2017,337105.32,247493.24,489828.25,,336018.25,,262996.41,348031.64,529075.25,,,,,,,,,
90003,2018,397479.62,305144.34,549122.98,,396424.9,,324810.47,408432.9,611257.52,0.12,,,71.42,,,,46.3,
90003,2019,435902.63,338187.36,595266.79,,435069.7,,357229.95,447977.3,679066.45,0.12,,,68.17,,,,46.5,
90003,2020,471665.19,370469.93,639202.01,,470859.44,,389361.28,484305.31,743151.14,0.12,,,80.58,,,,36.83,
90003,2021,532540.44,420349.97,713400.81,,531571.13,,434773.47,547812.63,843223.19,0.1,,,92.33,,,,38.25,
90003,2022,586991.88,478321.84,764381.86,2257.41,585771.96,,476843.11,600609.76,912701.51,0.11,,,80.18,,,,42.92,
90003,2023,595907.3,501058.24,754066.61,2404.52,595039.77,,489398.78,605888.78,865989.75,0.14,,,80.83,,,,42.33,
90003,2024,622654.21,531250.57,768772.19,2542.24,623441.59,,501676.62,633627.11,840185.95,0.09,,,72.42,,,,40.92,11.92
90004,2010,667972.07,354724.11,1491330.54,,828183.54,441258.41,333683.85,649084.73,1467605.93,,,,,,,,,
90004,2011,626762.68,331592.23,1409115.81,,784577.97,409792.59,296247.43,610323.43,1413286.15,,,,,,,,,
90004,2012,632739.19,333527.32,1399091.02,,791489.61,405583.95,282281.04,623872.66,1401844.29,,,,,,,,,
90004,2013,723970.22,393639.05,1550614.32,,898168.34,479610.72,335078.45,712594.46,1535400.65,,,,,,,,,
90004,2014,836779.6,458557.2,1781174.87,,1037981.71,542514.84,387633.18,822284.66,1788818.46,,,,,,,,,
90004,2015,906129.16,498513.56,1916416.82,,1122812.17,579631.3,430366.21,894842.17,1937489.57,,,,,,,,,
90004,2016,888409.96,515464.17,1850618.84,1705.06,1089006.31,610392.95,442481.0,867405.29,1905779.14,,,,,,,,,
90004,2017,988387.61,578881.29,2095529.61,1793.44,1218111.62,655211.94,492913.4,966833.7,2333661.64,,,,,,,,,
90004,2018,1165447.84,676079.21,2503152.1,1885.43,1441735.77,726830.28,584759.8,1145405.53,2968334.61,0.18,,,60.58,,,,77.6,24.5
90004,2019,1227359.08,719493.81,2673121.92,1964.16,1512690.18,751525.34,614191.2,1210965.39,3260014.22,0.2,,,54.08,,,,90.83,23.25
90004,2020,1278054.58,755233.15,2787660.31,1957.84,1573870.78,768526.93,641277.15,1263134.43,3436668.5,0.18,,,81.0,,,,69.25,20.83
